Price,Close,High,Low,Open,Volume
Ticker,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX
Date,,,,,
2016-10-11,17.324630737304688,17.429629084151664,17.200543271531878,17.429629084151664,444307
2016-10-12,17.305538177490234,17.362810990742016,17.190996192210736,17.343720052991422,255669
2016-10-13,17.085996627807617,17.315082402522076,16.895092725851516,17.19099495728121,545836
2016-10-14,17.29599380493164,17.324628389746383,17.143268129934537,17.1814500038368,1440728
2016-10-17,17.000089645385742,17.32462828922411,16.90463678179588,17.32462828922411,320212
2016-10-18,17.085996627807617,17.372355211659617,17.038271107471566,17.085996627807617,1224729
2016-10-19,17.133726119995117,17.37235739286072,17.08599877305472,17.37235739286072,1175029
2016-10-20,17.143268585205078,17.37235619347859,17.0859975934427,17.18145046012133,557039
2016-10-21,17.152812957763672,17.22917488210418,17.00963457720171,17.18144936212082,269011
2016-10-24,17.171905517578125,17.219632862685916,17.03827259250043,17.03827259250043,812244
2016-10-25,17.171905517578125,17.210087393664356,17.057363530543547,17.2005419246428,757802
2016-10-26,17.229175567626953,17.362810305998877,17.028726190987005,17.18145004574467,644774
2016-10-27,16.799640655517578,17.353265092295896,16.456011066961388,17.353265092295896,1621838
2016-10-28,16.780550003051758,17.114634128639274,16.341469361877092,16.895093808051943,866035
2016-10-31,16.44646453857422,16.713732181408645,16.36055714697072,16.36055714697072,616117
2016-11-01,16.226926803588867,16.49419448871541,16.13147392885709,16.446467141043446,978925
2016-11-03,16.12192726135254,16.456011387782933,15.74966308023377,16.274651121330088,681922
2016-11-04,16.322378158569336,16.551463944228487,16.131472426880716,16.293741752632446,786904
2016-11-07,16.68509864807129,17.181452147043927,16.322379903814166,16.704189587403818,1446907
2016-11-08,17.009634017944336,17.3437181086792,16.771002784649692,16.87600110989512,605139
2016-11-09,16.02647590637207,17.162359365552238,15.845115643404117,16.322378151816217,1288805
2016-11-10,15.281946182250977,16.131472889334198,15.081495886476256,16.03602002075347,2573006
2016-11-11,15.091041564941406,15.740117985262627,14.795138396477208,15.310582801603108,2175096
2016-11-14,15.444214820861816,15.740117061656898,15.110130706099909,15.27240002923501,1191452
2016-11-15,15.978748321533203,16.131472176266627,15.463305766960884,15.463305766960884,2296474
2016-11-16,15.778298377990723,16.226924457573958,15.453759743190293,15.940567695390937,1041404
2016-11-17,15.568302154541016,15.931022672087304,15.453760174714146,15.749662413314159,346321
2016-11-18,15.654210090637207,15.740117488781799,15.386944248064703,15.740117488781799,748200
2016-11-22,15.873748779296875,15.997838039696234,15.511030107092527,15.654208482420248,912681
2016-11-23,15.682847023010254,15.845116355992442,15.530123159099025,15.845116355992442,785993
2016-11-24,15.692391395568848,15.749662385380706,15.568302126929222,15.749662385380706,54376
2016-11-25,15.520577430725098,15.749663222764593,15.511031961813613,15.740117753853108,1813284
2016-11-28,15.224674224853516,15.606484787511475,15.148312294383127,15.577848380855567,1047610
2016-11-29,15.272400856018066,15.348762787473675,15.205584393570916,15.339217318465217,1794916
2016-11-30,15.176947593688965,15.35830785893103,14.890590813295818,15.224674027189824,2659944
2016-12-01,15.014677047729492,15.367852080796819,14.852408643482088,15.367852080796819,971137
2016-12-02,15.176947593688965,15.272400460690683,14.96695274277479,15.157857566472224,1649338
2016-12-05,15.358308792114258,15.444216195574406,15.091042022698508,15.367854261455621,391660
2016-12-06,15.8355712890625,16.02647703410558,15.27240134385874,15.38694515500701,702706
2016-12-07,15.921481132507324,15.988297607329525,15.425127575810418,15.988297607329525,652241
2016-12-08,15.721027374267578,15.99784052069384,15.568303507484847,15.99784052069384,345724
2016-12-09,15.635120391845703,15.75920967482434,15.310583531669009,15.740118735810373,514273
2016-12-13,15.864206314086914,16.036019284913856,15.472849388802782,15.721026107479862,788862
2016-12-14,15.215129852294922,15.873751777635555,14.336967588609438,15.673302378436908,850312
2016-12-15,15.081496238708496,15.415579465931614,14.995588837040652,15.415579465931614,1011414
2016-12-16,14.795138359069824,15.272400886781755,14.651959964878658,15.081496057758189,3047460
2016-12-19,14.95740795135498,15.081496319954116,14.795138616287346,15.07195085076048,1460632
2016-12-20,14.986042976379395,15.100585872175339,14.890591018369115,15.08149584469569,1379385
2016-12-21,14.90968132019043,14.986043252126137,14.861954885154105,14.986043252126137,1108236
2016-12-22,14.80468463897705,15.02422497680227,14.432419519261938,14.842865606873007,537437
2016-12-23,14.814229011535645,14.957407402966611,14.651959682417344,14.804683542691977,553599
2016-12-26,14.928772926330566,15.17694876107348,14.814230023301665,15.17694876107348,23467
2016-12-27,14.986042976379395,15.062404906910023,14.814229087838484,14.966952948899745,204102
2016-12-28,14.976497650146484,15.157857919613805,14.852410194581717,14.986043119130244,185015
2016-12-29,15.081496238708496,15.14831270209191,14.986043367898437,14.986043367898437,269983
2016-12-30,14.938316345214844,15.081495645801041,14.861954415691276,15.081495645801041,135857
2017-01-02,14.938316345214844,15.071950177034093,14.90013538045306,14.90013538045306,28289
2017-01-03,15.157858848571777,15.253310813341121,14.85241110482015,15.129223350171584,438171
2017-01-04,15.46330738067627,15.692393186683276,14.861955546872244,15.234220664363187,1132326
2017-01-05,15.24376392364502,15.654209038986792,15.091040075117297,15.577847114722932,715939
2017-01-06,14.71877670288086,15.27240117256174,14.632869300636234,15.262855703355438,399649
2017-01-09,14.470600128173828,14.909681703237686,14.441964630538767,14.718776868493848,240867
2017-01-10,14.489690780639648,14.661504673362867,14.44196434531974,14.47059984238927,251943
2017-01-11,14.556506156921387,14.680594515364646,14.451508735302923,14.680594515364646,286767
2017-01-12,14.441965103149414,14.718777350163124,14.317876728928637,14.566053477370193,4121713
2017-01-13,14.432418823242188,14.690141026840493,14.327421394168452,14.690141026840493,826405
2017-01-16,14.527872085571289,14.79513885516601,14.365602747883692,14.537416644612984,197989
2017-01-17,14.260603904724121,14.527871575236325,14.079244545017865,14.527871575236325,1117840
2017-01-18,13.926522254943848,14.41333030588753,13.697436434607807,14.279696455538442,800274
2017-01-19,13.706978797912598,13.93606549184469,13.458802987470639,13.93606549184469,999441
2017-01-20,13.859703063964844,13.955155015212526,13.611526352170156,13.706978303417838,787782
2017-01-23,14.021971702575684,14.203331960447159,13.840612355010176,13.888338786571405,229964
2017-01-24,14.384692192077637,14.441964095532162,14.05060897122864,14.07924446780289,710707
2017-01-25,14.251059532165527,14.46105439134604,14.08879019805856,14.46105439134604,919070
2017-01-26,13.88833999633789,14.174697700342948,13.821522622209548,13.936066432056407,628905
2017-01-27,13.916975021362305,14.203332715649573,13.726070195272797,13.897884993906361,297543
2017-01-30,13.98379135131836,14.060153281035534,13.78334105823427,13.897884863116042,406767
2017-01-31,14.088789939880371,14.126970905423162,13.601981946480263,13.983791601908177,1849128
2017-02-01,14.079243659973145,14.126970091729163,13.706978584643366,14.09833459679794,704809
2017-02-02,14.193787574768066,14.260604037866928,13.916975342965015,14.079244676467429,276632
2017-02-03,14.126970291137695,14.365601542980203,14.002881930942872,14.174696723567394,89996
2017-02-07,13.916975021362305,14.298784673541318,13.8024321257086,14.12697078521377,371690
2017-02-08,13.859703063964844,14.031516940333052,13.754704734194656,13.897884026525107,382768
2017-02-09,13.86924934387207,14.136517025283641,13.754706441969711,14.031518682476928,216192
2017-02-10,13.926522254943848,13.936067725034382,13.764252904629286,13.897886754978375,621667
2017-02-13,13.687889099121094,14.03151778279517,13.554255266983729,14.03151778279517,472506
2017-02-14,13.745161056518555,13.840613930506546,13.621073594762667,13.726071027904599,365893
2017-02-15,13.487439155578613,13.888339752073556,13.420622692931467,13.888339752073556,918756
2017-02-16,13.592436790466309,13.697435130855952,13.430167455596898,13.649708695252118,192588
2017-02-17,13.019721984863281,13.668798398616484,12.886088150408138,13.668798398616484,731489
2017-02-20,13.449257850646973,13.449257850646973,13.124719194018642,13.172445627694456,287408
2017-02-21,13.687889099121094,13.783341056099779,13.49698427485772,13.544709798194058,1465160
2017-02-22,13.764250755310059,13.811977188004008,13.487438538052338,13.687888827122134,2695619
2017-02-23,13.411078453063965,13.792888146478964,13.363352013810562,13.601983299771465,481094
2017-02-24,13.286989212036133,13.60198241621882,13.029267002992448,13.363351145758841,592060
2017-02-27,13.277443885803223,13.477894191561617,13.229717449135784,13.286989355197925,590490
2017-02-28,12.838360786437988,13.363349706987993,12.628365036156795,13.27744231322269,1287760
2017-03-01,13.048357009887695,13.315623758833599,12.838361251991492,12.981540550227718,266859
2017-03-02,13.153355598449707,13.27744397045375,12.886088825836573,12.981541699780013,575013
2017-03-03,13.382441520690918,13.52561991281399,13.07699288835914,13.07699288835914,507142
2017-03-06,13.458803176879883,13.611527034779945,13.363350310539346,13.363350310539346,313138
2017-03-07,13.506528854370117,13.63061721791101,13.353804994721637,13.63061721791101,745565
2017-03-08,13.506528854370117,13.697434589236726,13.363350463526169,13.63061721791101,187888
2017-03-09,13.391985893249512,13.525619724932511,13.36335039728387,13.50652878741808,325642
2017-03-10,13.563799858093262,13.84061206293982,13.372895046182869,13.372895046182869,219011
2017-03-13,13.516074180603027,13.601981578325622,13.411076755778744,13.601981578325622,204837
2017-03-14,13.411078453063965,13.506530421264658,13.363352013810562,13.506530421264658,320636
2017-03-15,13.411078453063965,13.601983299771465,13.325171044469062,13.363352013810562,519144
2017-03-16,13.496984481811523,13.554255474815688,13.37289611656114,13.430167109565303,1617975
2017-03-17,13.98379135131836,14.126970652267568,13.48743880815672,13.573346206665043,1121368
2017-03-21,14.356056213378906,14.785592288791513,13.754705343678863,14.10787949058727,872659
2017-03-22,14.661503791809082,15.014677935451408,14.317875116718005,14.356056080617014,911114
2017-03-23,14.604233741760254,14.842865009075597,14.470599904353485,14.842865009075597,115304
2017-03-24,14.53741455078125,14.699683865097109,14.336965185185585,14.604231916285734,334626
2017-03-27,14.336966514587402,14.632868766738042,14.222422708903139,14.632868766738042,225607
2017-03-28,14.184242248535156,14.508780918808847,14.079244818278509,14.508780918808847,221213
2017-03-29,14.260603904724121,14.317875808492744,14.136516448786487,14.203332911261525,519311
2017-03-30,14.556506156921387,14.604232588677405,14.231967513347627,14.384691366722109,387324
2017-03-31,14.518325805664062,14.6996851616158,14.212878086037556,14.594687735570691,331060
2017-04-03,14.365601539611816,14.699684745929403,14.31787510719331,14.508779926561356,290071
2017-04-04,14.80468463897705,14.900136603563897,13.983792463754913,14.365603053020537,1162691
2017-04-05,14.70923137664795,14.976498144879912,14.613779414575275,14.804684249026678,443404
2017-04-06,14.728321075439453,14.871499461648963,14.31787503319009,14.861953993153401,126518
2017-04-07,14.499234199523926,14.88104474175908,14.44196320988753,14.747410915430882,166070
